term	module
FeatureInverting_invertingFeature	KerML/Core/Features
FeatureInverting_owningFeature	KerML/Core/Features
FeatureMembership	KerML/Core/Types
FeatureMembership_ownedMemberFeature	KerML/Core/Types
FeatureMembership_owningType	KerML/Core/Types
FeatureReferenceExpression	KerML/Kernel/Expressions
FeatureReferenceExpression_referent	KerML/Kernel/Expressions
FeatureTyping	KerML/Core/Features
FeatureTyping_owningFeature	KerML/Core/Features
FeatureTyping_type	KerML/Core/Features
FeatureTyping_typedFeature	KerML/Core/Features
FeatureValue	KerML/Kernel/FeatureValues
FeatureValue_featureWithValue	KerML/Kernel/FeatureValues
FeatureValue_isDefault	KerML/Kernel/FeatureValues
FeatureValue_isInitial	KerML/Kernel/FeatureValues
FeatureValue_value	KerML/Kernel/FeatureValues
Feature_chainingFeature	KerML/Core/Features
Feature_direction	KerML/Core/Features
Feature_endOwningType	KerML/Core/Features
Feature_featureTarget	KerML/Core/Features
Feature_featuringType	KerML/Core/Features
Feature_isComposite	KerML/Core/Features
Feature_isDerived	KerML/Core/Features
Feature_isEnd	KerML/Core/Features
Feature_isNonunique	KerML/Core/Features
Feature_isOrdered	KerML/Core/Features
Feature_isPortion	KerML/Core/Features
Feature_isReadOnly	KerML/Core/Features
Feature_isUnique	KerML/Core/Features
Feature_ownedFeatureChaining	KerML/Core/Features
Feature_ownedFeatureInverting	KerML/Core/Features
Feature_ownedRedefinition	KerML/Core/Features
Feature_ownedReferenceSubsetting	KerML/Core/Features
Feature_ownedSubsetting	KerML/Core/Features
Feature_ownedTypeFeaturing	KerML/Core/Features
Feature_ownedTyping	KerML/Core/Features
Feature_owningFeatureMembership	KerML/Core/Features
Feature_owningType	KerML/Core/Features
Feature_type	KerML/Core/Features
Featuring	KerML/Core/Features
Featuring_feature	KerML/Core/Features
Featuring_type	KerML/Core/Features
FlowConnectionDefinition	SysML/Systems/Connections
FlowConnectionUsage	SysML/Systems/Connections
FlowConnectionUsage_flowConnectionDefinition	SysML/Systems/Connections
ForLoopActionUsage	SysML/Systems/Actions
